time,calc_time
1.00,0.19
9.00,0.10
19.00,0.09
29.00,0.09
39.00,0.08
49.00,0.07
59.00,0.09
69.00,0.09
79.00,0.09
89.00,0.09
99.00,0.09
109.00,0.09
119.00,0.09
129.00,0.09
139.00,0.09
149.00,0.09
159.00,0.09
169.00,0.09
179.00,0.09
189.00,0.09
199.00,0.09
209.00,0.09
219.00,0.09
229.00,0.09
239.00,0.09
249.00,0.10
259.00,0.09
269.00,0.09
279.00,0.09
289.00,0.09
299.00,0.10
309.00,0.11
319.00,0.09
329.00,0.10
339.00,0.08
349.00,0.08
359.00,0.09
369.00,0.09
379.00,0.10
389.00,0.08
399.00,0.09
409.00,0.10
419.00,0.09
429.00,0.08
439.00,0.09
449.00,0.09
459.00,0.09
469.00,0.10
479.00,0.08
489.00,0.09
499.00,0.09
509.00,0.09
519.00,0.09
529.00,0.09
539.00,0.09
549.00,0.09
559.00,0.07
569.00,0.09
579.00,0.09
589.00,0.09
599.00,0.09
609.00,0.09
619.00,0.09
629.00,0.09
639.00,0.09
649.00,0.08
659.00,0.09
669.00,0.08
679.00,0.09
689.00,0.09
699.00,0.09
709.00,0.09
719.00,0.08
729.00,0.09
739.00,0.09
749.00,0.09
759.00,0.09
769.00,0.09
779.00,0.08
789.00,0.09
799.00,0.09
809.00,0.36
819.00,0.10
829.00,0.10
839.00,0.10
849.00,0.09
859.00,0.45
869.00,0.07
879.00,0.09
889.00,0.07
899.00,0.09
909.00,0.09
919.00,0.10
929.00,0.09
939.00,0.09
949.00,0.09
959.00,0.09
969.00,0.09
979.00,0.09
989.00,0.08
999.00,0.09
